id,name,status,load_type,primary_region,strength_focus,lift_role,movement_pattern,tags,unilateral,cns_load,fatigue_cost,progression_level,default_sets,default_reps,default_duration_sec,intensity,age_min,age_max,equipment,space,step_by_step,coaching_cues,video_url,session_type,signal,inspired_by,coach_preference
BW_001,Bodyweight Squat,active,bodyweight,lower,hypertrophy,auxiliary,squat,"squat, bilateral, foundation",FALSE,medium,medium,foundation,3,8-12,45,low,8,99,None,4x4 ft,Squat down under control and stand back up,Knees track over toes,,strength,strength,self,1
BW_002,Split Squat,active,bodyweight,lower,hypertrophy,auxiliary,lunge,"split_squat, single_leg, balance",TRUE,low,medium,foundation,3,8-12,45,moderate,8,99,None,4x4 ft,Rear foot stays back as athlete lowers into split squat,"Chest tall, control depth",,strength,strength,self,1
BW_003,Reverse Lunge,active,bodyweight,lower,hypertrophy,auxiliary,lunge,"reverse_lunge, single_leg, control",TRUE,medium,medium,foundation,3,8-12,45,moderate,8,99,None,6 ft lane,Step backward into lunge then return to start,Push through front heel,,strength,strength,self,1
BW_004,Lateral Lunge,active,bodyweight,lower,hypertrophy,auxiliary,lunge,"lateral_lunge, frontal_plane, hips",TRUE,medium,medium,foundation,3,8-12,45,moderate,8,99,None,6 ft lane,Step laterally into deep lunge then return,"Hips back, sit into side",,strength,strength,self,1
BW_005,Glute Bridge,active,bodyweight,lower,hypertrophy,auxiliary,hinge,"glute_bridge, posterior_chain",FALSE,low,low,foundation,3,10-15,45,low,8,99,None,Floor,Lift hips by squeezing glutes,Hips fully extended,,strength,strength,self,1
BW_006,Single-Leg Glute Bridge,active,bodyweight,lower,hypertrophy,auxiliary,hinge,"single_leg, glutes, posterior_chain",TRUE,low,medium,foundation,3,8-12/side,45,moderate,9,99,None,Floor,Perform glute bridge on one leg,Hips level,,strength,strength,self,1
BW_007,Push-Up,active,bodyweight,upper,hypertrophy,auxiliary,push,"pushup, upper_body",FALSE,low,medium,foundation,3,8-12,45,moderate,8,99,None,Floor,Lower chest to floor and push back up,Body stays straight,,strength,strength,self,1
BW_008,Incline Push-Up,active,bodyweight,upper,hypertrophy,auxiliary,push,"incline_pushup, upper_body",FALSE,low,low,foundation,3,10-15,45,low,8,99,Bench or wall,Floor,Push-up with hands elevated,Full range of motion,,strength,strength,self,2
BW_009,Inverted Row,active,bodyweight,upper,hypertrophy,auxiliary,pull,"inverted_row, scap_control",FALSE,low,medium,foundation,3,8-12,45,moderate,9,99,Bar or rings,Floor,Pull chest toward bar with body straight,Squeeze shoulder blades,,strength,strength,self,1
BW_010,Bear Crawl Hold,active,bodyweight,core,stability,accessory,anti_rotation,"core_stability, anti_extension",FALSE,low,low,foundation,3,20-40s,45,low,8,99,None,Floor,Hold bear crawl position with knees hovering,"Hips steady, breathe",,strength,neutral,self,1
BW_011,Dead Bug,active,bodyweight,core,stability,accessory,anti_rotation,"core_control, contralateral",FALSE,low,low,foundation,3,6-10/side,45,low,8,99,None,Floor,Alternate opposite arm and leg while keeping back flat,Slow controlled movement,,strength,neutral,self,1
BW_012,Side Plank,active,bodyweight,core,stability,accessory,anti_rotation,"lateral_core, stability",FALSE,low,low,foundation,3,20-40s,45,low,8,99,None,Floor,Hold side plank position,Hips stacked,,strength,neutral,self,1
BW_013,Skater Jump,active,bodyweight,full,power,primary,power,"lateral_power, plyometric",TRUE,medium,medium,intermediate,5,2-4,30,moderate,9,99,None,6 ft lane,Lateral jump from one leg to the other,Stick landing,,strength,power,self,1
BW_014,Squat Jump,active,bodyweight,full,power,primary,power,"vertical_jump, plyometric",FALSE,medium,medium,intermediate,5,2-4,30,moderate,9,99,None,4x4 ft,Squat down and jump vertically,Soft quiet landings,,strength,power,self,1
BW_015,Single-Leg Wall Sit,active,bodyweight,lower,stability,auxiliary,squat,"single_leg, isometric, knee_stability",TRUE,low,medium,foundation,3,20-40s,45,low,9,99,Wall,Wall,Hold single-leg wall sit position,"Even weight through foot, knee tracks forward",,strength,strength,self,1
BW_016,Cossack Squat,active,bodyweight,lower,mobility,auxiliary,squat,"frontal_plane, hips, adductors",FALSE,low,medium,foundation,3,6-10/side,45,low,9,99,None,6 ft lane,Squat to one side while opposite leg stays extended,"Chest tall, sit into hip",,strength,recovery,self,1
BW_017,Copenhagen Plank,active,bodyweight,core,stability,accessory,anti_rotation,"adductors, lateral_core",FALSE,low,medium,foundation,3,20-40s,45,low,10,99,Bench or chair,Floor,Side plank with top leg supported on bench,"Drive top leg down, hips stacked",,strength,neutral,self,1
BW_018,Broad Jump,active,bodyweight,full,power,primary,power,"horizontal_jump, plyometric",FALSE,medium,medium,intermediate,4,2-4,30,moderate,9,99,None,8 ft lane,Jump forward explosively and stick landing,"Load hips, land softly",,strength,power,self,1
BW_019,Split-Squat Jump,active,bodyweight,full,power,primary,power,"split_stance, plyometric",TRUE,medium,high,intermediate,4,3-5/side,30,moderate,10,99,None,6 ft lane,Jump explosively from split squat stance,"Control landing, switch legs if programmed",,strength,power,self,1
BW_020,Forward Lunge Hard Stop,active,bodyweight,lower,coordination,auxiliary,lunge,"deceleration, single_leg, control",TRUE,medium,medium,foundation,3,6-8/side,45,low,9,99,None,8 ft lane,Step forward into lunge and aggressively stop,"Brake with front leg, stable torso",,strength,strength,self,1
LS_001,Barbell Back Squat,active,loaded,lower,max_strength,primary,squat,"barbell_squat, bilateral",FALSE,high,high,intermediate,5,3-5,45,high,14,99,Barbell & rack,Rack area,"Descend under control, drive up through midfoot","Knees track, chest tall",,strength,strength,self,1
LS_002,Front Squat,active,loaded,lower,max_strength,primary,squat,"front_squat, quad_dominant",FALSE,high,high,intermediate,4,3-5,45,moderate,14,99,Barbell & rack,Rack area,Squat with bar in front rack position,"Elbows high, upright torso",,strength,strength,self,1
LS_003,Goblet Squat,active,loaded,lower,hypertrophy,auxiliary,squat,"goblet_squat, foundation",FALSE,medium,medium,foundation,3,8-12,45,moderate,14,99,Dumbbell or kettlebell,4x4 ft,Hold weight at chest and squat,Sit between hips,,strength,strength,self,2
LS_004,Trap Bar Deadlift,active,loaded,lower,max_strength,primary,hinge,"trap_bar_deadlift, posterior_chain",FALSE,high,high,intermediate,5,3-5,45,moderate,14,99,Trap bar,Rack area,Push through floor to stand tall,Hips and shoulders rise together,,strength,strength,self,1
LS_005,Romanian Deadlift,active,loaded,lower,hypertrophy,auxiliary,hinge,"RDL, hamstrings",FALSE,medium,medium,intermediate,4,6-8,45,high,14,99,Barbell,4x6 ft,Hinge at hips keeping slight knee bend,Feel stretch in hamstrings,,strength,strength,self,1
LS_006,Hip Thrust,active,loaded,lower,hypertrophy,auxiliary,hinge,"hip_thrust, glutes",FALSE,medium,medium,intermediate,4,6-12,45,moderate,14,99,Barbell & bench,Bench area,Drive hips upward squeezing glutes,Full lockout,,strength,strength,self,1
LS_007,Bulgarian Split Squat,active,loaded,lower,hypertrophy,auxiliary,lunge,"bulgarian_split, single_leg",TRUE,medium,high,intermediate,3,8-12,45,high,14,99,Dumbbells or barbell,6 ft lane,"Rear foot elevated, lower into split squat",Front leg does the work,,strength,strength,self,1
LS_008,Slider/TRX Rear-Foot Split Squat,active,loaded,lower,hypertrophy,auxiliary,lunge,"slider_split_squat, unilateral",TRUE,medium,medium,intermediate,3,8-12,45,moderate,14,99,Slider or TRX,Floor or rack,"Back foot placed on slider or suspended in TRX, lower into split squat and return","Front leg drives, hips stay square",,strength,strength,self,1
LS_009,Walking Dumbbell Lunge,active,loaded,lower,strength_endurance,auxiliary,lunge,"walking_lunge, single_leg",TRUE,high,high,intermediate,3,10-15,60,high,14,99,Dumbbells,10 ft lane,Step forward into lunge and continue walking,Long stride,,strength,strength,self,2
LS_010,Lateral Dumbbell Lunge,active,loaded,lower,hypertrophy,auxiliary,lunge,"frontal_plane, lateral_lunge",TRUE,medium,medium,intermediate,3,8-12,45,moderate,14,99,Dumbbells,6 ft lane,Sit into lateral hip then return,Hips back,,strength,strength,self,1
LS_011,Step-Up,active,loaded,lower,hypertrophy,auxiliary,lunge,"step_up, single_leg",TRUE,low,medium,intermediate,3,8-12,45,moderate,14,99,Dumbbells & box,Box area,Step onto box and drive through lead leg,Full foot on box,,strength,strength,self,1
LS_012,Barbell Bench Press,active,loaded,upper,max_strength,primary,push,"bench_press, upper_body",FALSE,high,high,intermediate,5,3-5,45,moderate,14,99,Barbell & bench,Bench area,Lower bar to chest and press upward,Control descent,,strength,strength,self,2
LS_013,Dumbbell Bench Press,active,loaded,upper,hypertrophy,auxiliary,push,"DB_bench, shoulder_control",FALSE,medium,medium,intermediate,4,6-12,45,moderate,14,99,Dumbbells & bench,Bench area,Press dumbbells with neutral control,Stable shoulders,,strength,strength,self,2
LS_014,Push Press,active,loaded,full,power,primary,push,"push_press, triple_extension",FALSE,high,high,advanced,5,2-4,30,moderate,14,99,Barbell,4x6 ft,Dip slightly then drive bar overhead,Use legs then arms,,strength,power,self,1
LS_015,Medicine Ball Chest Pass,active,loaded,upper,power,primary,push,"med_ball_throw, upper_power",FALSE,medium,medium,intermediate,5,3-5,30,moderate,14,99,Medicine ball,Wall area,Explosive chest pass into wall,"Max intent, fast reset",,strength,power,self,1
LS_016,Pull-Up,active,loaded,upper,max_strength,primary,pull,"pullup, vertical_pull",FALSE,medium,medium,intermediate,4,3-6,45,moderate,14,99,Pull-up bar,Bar area,Pull chin over bar under control,Full hang start,,strength,strength,self,1
LS_017,Lat Pulldown,active,loaded,upper,hypertrophy,auxiliary,pull,"lat_pulldown, vertical_pull",FALSE,medium,medium,intermediate,3,8-12,45,moderate,14,99,Cable machine,Machine area,Pull bar down to chest,Drive elbows down,,strength,strength,self,2
LS_018,Barbell Row,active,loaded,upper,hypertrophy,auxiliary,pull,"barbell_row, horizontal_pull",FALSE,medium,medium,intermediate,4,6-10,45,moderate,14,99,Barbell,4x6 ft,Hinge and pull bar to torso,Back flat,,strength,strength,self,1
LS_019,Single-Arm Dumbbell Row,active,loaded,upper,hypertrophy,auxiliary,pull,"single_arm_row, unilateral",TRUE,medium,medium,intermediate,3,8-12,45,moderate,14,99,Dumbbell & bench,Bench area,Pull dumbbell toward hip,Squeeze lat,,strength,strength,self,1
LS_020,Pallof Press,active,loaded,core,stability,accessory,anti_rotation,"anti_rotation, core_stability",FALSE,low,low,foundation,3,8-12/side,45,moderate,14,99,Cable or band,Open area,Press handle away resisting rotation,Ribs down,,strength,neutral,self,1
LS_021,Weighted Dead Bug,active,loaded,core,stability,accessory,anti_rotation,"core_control, anti_extension",FALSE,low,low,foundation,3,6-10/side,45,moderate,14,99,Medicine ball,Floor,Hold weight while alternating limbs,Control core,,strength,neutral,self,2
LS_022,Cable Chop,active,loaded,core,stability,accessory,rotation,rotational_strength,FALSE,low,medium,intermediate,3,8-12/side,45,moderate,14,99,Cable machine,Machine area,Rotate torso pulling cable diagonally,Hips stable,,strength,neutral,self,1
LS_023,Cable Lift,active,loaded,core,stability,accessory,rotation,diagonal_lift,FALSE,low,medium,intermediate,3,8-12/side,45,moderate,14,99,Cable machine,Machine area,Drive cable upward across body,Rotate through torso,,strength,neutral,self,1
LS_024,Farmer Carry,active,loaded,full,stability,accessory,carry,"loaded_carry, posture",FALSE,low,medium,intermediate,3,20-40s,60,moderate,14,99,Dumbbells or trap bar,20 ft lane,Walk holding heavy weight tall posture,No leaning,,strength,neutral,self,1
LS_025,Suitcase Carry,active,loaded,core,stability,accessory,carry,"unilateral_carry, anti_lateral_flexion",TRUE,low,medium,intermediate,3,20-40s,60,moderate,14,99,Dumbbell,20 ft lane,Carry weight on one side only,Anti-lean core control,,strength,neutral,self,1
LS_026,Medicine Ball Rotational Throw,active,loaded,full,power,primary,power,rotational_power,FALSE,medium,medium,advanced,5,3-5,30,moderate,14,99,Medicine ball,Wall area,Rotate and throw ball explosively,Hips lead throw,,strength,power,self,1
LS_027,Box Jump,active,loaded,full,power,primary,power,"box_jump, plyometric",FALSE,medium,medium,intermediate,5,2-4,30,moderate,14,99,Box,Plyo area,Jump onto box and step down,Soft landing,,strength,power,self,1
LS_028,Trap Bar Jump,active,loaded,full,power,primary,power,"trap_bar_jump, loaded_jump",FALSE,high,high,advanced,4,2-4,30,moderate,15,99,Trap bar,Plyo area,Jump with light load for power,Explode upward,,strength,power,self,1
LS_029,Landmine Press,active,loaded,upper,hypertrophy,auxiliary,push,"landmine_press, shoulder_stability",FALSE,medium,medium,intermediate,3,8-12,45,moderate,14,99,Landmine setup,Open area,Press bar at angle upward,Stable core,,strength,strength,self,1
LS_030,Landmine Row,active,loaded,upper,hypertrophy,auxiliary,pull,"landmine_row, unilateral",FALSE,medium,medium,intermediate,3,8-12,45,moderate,14,99,Landmine setup,Open area,Pull bar toward hip,Hip hinge control,,strength,strength,self,1
LS_031,Single-Leg Romanian Deadlift,active,loaded,lower,hypertrophy,auxiliary,hinge,"single_leg_RDL, balance",TRUE,medium,medium,intermediate,3,8-12/side,45,moderate,14,99,Dumbbells,4x6 ft,Hinge on one leg lowering weight,Hips square,,strength,strength,self,1
LS_032,Rear-Foot Elevated Hip Thrust,active,loaded,lower,hypertrophy,auxiliary,hinge,single_leg_hip_thrust,TRUE,medium,medium,intermediate,3,8-12/side,45,moderate,14,99,Barbell & bench,Bench area,Single-leg hip thrust,Glute drive,,strength,strength,self,1
LS_033,Hanging Knee Raise,active,loaded,core,stability,accessory,anti_rotation,"hip_flexion, core_control",FALSE,low,low,foundation,3,8-12,45,moderate,14,99,Pull-up bar,Bar area,Raise knees under control,Avoid swinging,,strength,neutral,self,2
LS_034,Overhead Medicine Ball Slam,active,loaded,full,power,primary,power,"overhead_slam, full_body",FALSE,medium,medium,advanced,5,3-5,30,moderate,14,99,Medicine ball,Open area,Drive ball overhead then slam down,Full body power,,strength,power,self,1
LS_035,Single-Leg Box Squat,active,loaded,lower,hypertrophy,auxiliary,squat,single_leg_box_squat,TRUE,medium,medium,intermediate,3,8-12/side,45,moderate,14,99,Dumbbell or barbell,Box area,"Sit back onto box on one leg, control descent, stand back up","Knee tracks, slow down fast up",,strength,strength,self,1
LS_036,3-Way Bench Abs,active,loaded,core,stability,accessory,anti_rotation,"trunk_control, anti_extension",FALSE,low,low,foundation,3,6-10/side,45,moderate,14,99,Bench,Floor or bench,"Hang legs off bench, perform vertical tuck, then repeat tucks to right and left","Control legs, no swinging",,strength,neutral,self,1
LS_037,Lateral Dumbbell Raise,active,loaded,upper,hypertrophy,accessory,push,shoulder_abduction,FALSE,low,low,foundation,3,10-15,45,moderate,14,99,Dumbbells,4x4 ft,Raise dumbbells out to sides to shoulder height,"Light weight, control motion",,strength,strength,self,2
LS_038,Front Dumbbell Raise,active,loaded,upper,hypertrophy,accessory,push,shoulder_flexion,FALSE,low,low,foundation,3,10-15,45,moderate,14,99,Dumbbells,4x4 ft,Raise dumbbells forward to shoulder height,No leaning back,,strength,strength,self,2
LS_039,Medicine Ball Wall Squat Throw,active,loaded,full,power,primary,power,squat_to_throw,FALSE,high,high,advanced,4,3-5,30,moderate,14,99,Medicine ball,Wall area,"Squat near wall holding med ball, drive upward and throw ball vertically against wall","Explode upward, catch soft",,strength,power,self,1
LS_040,Stability Ball Heel Tucks,active,loaded,core,stability,accessory,hinge,"hamstring_curl, core",FALSE,low,low,foundation,3,8-12,45,moderate,14,99,Exercise ball,Floor,"Lie supine with heels on ball, pull heels toward hips and extend","Slow eccentric, hips up",,strength,neutral,self,1
LS_041,Single-Arm Dumbbell Snatch,active,loaded,full,power,primary,power,single_arm_snatch,FALSE,high,high,advanced,5,2-4,30,moderate,14,99,Dumbbell,Open area,Explosively pull dumbbell from floor to overhead in one motion,"Hips drive, smooth catch",,strength,power,self,1
PL_001,Max Vertical Jump,active,bodyweight,lower,power,primary,power,"vertical_jump, plyometric, testing",FALSE,high,high,advanced,6,1,30,high,12,99,None,4x4 ft,Perform maximal vertical jump attempts with full recovery between reps,"Full arm swing, violent extension, stick landing",,strength,power,self,1
SC_001,Face Pull,active,loaded,upper,stability,accessory,pull,"face_pull, scap_retraction, external_rotation",FALSE,low,low,foundation,3,12-20,45,low,12,99,Cable or band,Machine area,Pull rope toward face with elbows high,"Squeeze shoulder blades, rotate hands outward",,strength,neutral,self,1
SC_002,Band Pull-Apart,active,loaded,upper,stability,accessory,pull,"band_pullapart, scap_control",FALSE,low,low,foundation,3,15-25,45,low,10,99,Resistance band,Open area,Pull band apart keeping arms straight,"Chest tall, squeeze between shoulders",,strength,neutral,self,1
SC_003,Band External Rotation,active,loaded,upper,stability,accessory,pull,"external_rotation, rotator_cuff",FALSE,low,low,foundation,3,12-20/side,45,low,12,99,Band or cable,Open area,Rotate forearm outward keeping elbow tucked,Slow and controlled rotation,,strength,neutral,self,1
SC_004,90/90 External Rotation,active,loaded,upper,stability,accessory,pull,"external_rotation, rotator_cuff, overhead",FALSE,low,low,intermediate,3,10-15/side,45,low,14,99,Band or cable,Open area,Rotate arm externally at 90-degree shoulder position,"Elbow stays level, slow control",,strength,neutral,self,1
SC_005,Scap Push-Up,active,bodyweight,upper,stability,accessory,push,"serratus, scap_pushup",FALSE,low,low,foundation,3,10-20,45,low,10,99,None,Floor,Push through shoulders at top of plank,"Move shoulder blades, not elbows",,strength,neutral,self,1
SC_006,Wall Slide,active,bodyweight,upper,stability,accessory,push,"wall_slide, serratus, upward_rotation",FALSE,low,low,foundation,3,10-15,45,low,10,99,Wall,Wall,Slide arms up wall maintaining contact,"Ribs down, reach at top",,strength,neutral,self,1
SC_007,Y-T-W Raise,active,loaded,upper,stability,accessory,pull,"scap_control, lower_trap",FALSE,low,low,foundation,3,8-12 each,45,low,12,99,Light dumbbells,Bench area,"Raise arms in Y, T, and W patterns","Light weight, full control",,strength,neutral,self,1
SC_008,Trap-3 Raise,active,loaded,upper,stability,accessory,pull,"lower_trap, scap_control",FALSE,low,low,intermediate,3,10-15,45,low,14,99,Light dumbbell,Bench area,Raise arm overhead in scapular plane,"Thumb up, squeeze lower trap",,strength,neutral,self,1
LS_042,Incline Dumbbell Bench Press,active,loaded,upper,hypertrophy,auxiliary,push,"incline_DB_bench, upper_body",FALSE,medium,medium,intermediate,4,6-12,45,moderate,14,99,Dumbbells & bench,Bench area,Press dumbbells on an incline bench with control,"Shoulders packed, elbows 30-45 degrees",,strength,strength,self,2
LS_043,Close-Grip Bench Press,active,loaded,upper,max_strength,primary,push,"close_grip_bench, triceps",FALSE,high,high,intermediate,4,4-7,45,moderate,14,99,Barbell & bench,Bench area,Lower bar to lower chest with close grip and press up,"Tuck elbows slightly, control descent",,strength,strength,self,1
LS_044,Seated Dumbbell Overhead Press,active,loaded,upper,hypertrophy,auxiliary,push,"DB_overhead_press, vertical_push",FALSE,medium,medium,intermediate,3,8-12,45,moderate,14,99,Dumbbells & bench,Open area,Press dumbbells overhead from seated position,"Ribs down, avoid arching back",,strength,strength,self,2
LS_045,Chest-Supported Dumbbell Row,active,loaded,upper,hypertrophy,auxiliary,pull,"chest_supported_row, horizontal_pull",FALSE,medium,medium,intermediate,4,8-12,45,moderate,14,99,Dumbbells & incline bench,Bench area,Row dumbbells while chest is supported on incline bench,"Pull elbows to hips, squeeze upper back",,strength,strength,self,2
LS_046,Seated Cable Row,active,loaded,upper,hypertrophy,auxiliary,pull,"seated_row, horizontal_pull",FALSE,medium,medium,intermediate,3,8-12,45,moderate,14,99,Cable machine,Machine area,Pull handle to torso and control back forward,"Tall chest, no jerking",,strength,strength,self,2
LS_047,Single-Arm Cable Lat Pulldown,active,loaded,upper,hypertrophy,auxiliary,pull,"single_arm_pulldown, vertical_pull",TRUE,medium,medium,intermediate,3,8-12/side,45,moderate,14,99,Cable machine,Machine area,Pull handle down toward ribcage one arm at a time,"Drive elbow down, avoid shrugging",,strength,strength,self,2
LS_048,Chin-Up,active,loaded,upper,max_strength,primary,pull,"chinup, vertical_pull",FALSE,high,high,intermediate,4,3-6,45,moderate,14,99,Pull-up bar,Bar area,Pull chin over bar using underhand grip,"Full hang start, control down",,strength,strength,self,1
LS_049,Single-Arm Dumbbell Floor Press,active,loaded,upper,hypertrophy,auxiliary,push,"floor_press, unilateral_press",TRUE,medium,medium,intermediate,3,8-12/side,45,moderate,14,99,Dumbbell,Floor,Press dumbbell from floor with controlled tempo,"Pause on triceps, keep wrist stacked",,strength,strength,self,2
LS_050,Cable Triceps Pressdown,active,loaded,upper,hypertrophy,accessory,push,"triceps_pressdown, arm_strength",FALSE,low,low,foundation,3,10-15,45,low,14,99,Cable machine,Machine area,Press cable handle down until elbows extend,"Elbows pinned, slow return",,strength,strength,self,2
LS_051,Dumbbell Hammer Curl,active,loaded,upper,hypertrophy,accessory,pull,"hammer_curl, arm_strength",FALSE,low,low,foundation,3,10-15,45,low,14,99,Dumbbells,4x4 ft,Curl dumbbells with neutral grip,"No swinging, full range",,strength,strength,self,2
BW_022,Diamond Push-Up,active,bodyweight,upper,hypertrophy,auxiliary,push,"triceps_pushup, upper_body",FALSE,low,medium,intermediate,3,6-12,45,moderate,10,99,None,Floor,Push-up with hands close together under chest,"Keep elbows tucked, body straight",,strength,strength,self,2
BW_023,Pike Push-Up,active,bodyweight,upper,hypertrophy,auxiliary,push,"vertical_push, shoulders",FALSE,medium,medium,intermediate,3,6-10,45,moderate,10,99,None,Floor,Push-up in pike position targeting shoulders,"Head moves toward floor, control tempo",,strength,strength,self,2
LS_052,Single-Arm Dumbbell Bench Press,active,loaded,upper,hypertrophy,auxiliary,push,"single_arm_DB_bench, unilateral_press",TRUE,medium,medium,intermediate,3,8-12/side,45,moderate,14,99,Dumbbell & bench,Bench area,Press dumbbell with one arm while stabilizing torso,"Brace core, control rotation",,strength,strength,self,1
LS_053,Half-Kneeling Landmine Press,active,loaded,upper,power,auxiliary,push,"half_kneeling_landmine, unilateral_press",TRUE,medium,medium,intermediate,3,6-10/side,45,moderate,14,99,Landmine setup,Open area,Press bar upward from half-kneeling stance,"Hips locked, drive through shoulder",,strength,power,self,1
LS_054,Medicine Ball Scoop Throw,active,loaded,full,power,primary,power,"scoop_throw, rotational_power",FALSE,medium,medium,intermediate,4,3-5/side,30,moderate,12,99,Medicine ball,Wall area,Scoop ball from hip and throw explosively,"Rotate through hips, violent intent",,strength,power,self,1
LS_055,Renegade Row,active,loaded,upper,hypertrophy,auxiliary,pull,"renegade_row, anti_rotation",FALSE,medium,medium,intermediate,3,6-10/side,45,moderate,14,99,Dumbbells,Floor,Row dumbbell from plank position while stabilizing torso,"No hip rotation, slow pull",,strength,strength,self,2
