id,name,status,warmup_bucket,tags,default_duration_sec,intensity,age_min,age_max,equipment,space,step_by_step,notes,video_url,session_type,inspired_by,coach_preference
WU_001,Small Forward Run,active,locomotion,"activation, ankles, balance",30,low,8,99,None,10 ft line,Run forwards,Initial muscle warmup,,"movement,conditioning,circuit,weight_lifting",,1
WU_002,High-Knee March,active,rhythm,"activation, hips, core, skating_posture",45,low-med,8,99,None,6x6 ft,March in place lifting knees to waist height,"Posture tall, arms coordinated",,"movement,conditioning,circuit,weight_lifting",,1
WU_003,Karaoke (Crossover Steps),active,locomotion,"coordination, hips, rotation_control, edgework_prep",45,low-med,10,99,None,10 yd lane,Crossover step laterally down and back,"Controlled rhythm, hips square",,"movement,conditioning,circuit",,1
WU_004,Lateral Shuffle,active,locomotion,"coordination, hips, lateral_push, edgework_prep",45,low-med,8,99,None,10 yd lane,Shuffle side to side in athletic stance,"Stay low, light feet",,"movement,conditioning,circuit",,1
WU_005,Backpedal,active,locomotion,"general, tissue_temp, locomotion, skating_posture",45,low-med,8,99,None,10 yd lane,Backpedal,"Start easy, no sprinting",,"movement,conditioning,circuit",,1
WU_006,Arm Circles Forward & Back,active,upper_body,"general, tissue_temp, shoulders, arms",45,low,8,99,None,4x4 ft,"Small to large arm circles forward, then backward","Relax shoulders, controlled tempo",,"movement,conditioning,circuit,weight_lifting",,1
WU_007,Cross-Body Arm Swings,active,upper_body,"general, tissue_temp, shoulders, tspine",45,low,8,99,None,4x4 ft,"Swing arms across chest, alternating top and bottom","Stay tall, donâ€™t rush",,"movement,conditioning,circuit,weight_lifting",,1
WU_008,Dynamic Lunges with Reach,active,lower_body,"activation, hips, glutes, skating_posture",60,low-med,10,99,None,6x6 ft,"Step into lunge, reach arms overhead, alternate legs","Slow tempo, upright torso",,"movement,conditioning,circuit,weight_lifting",,1
WU_009,Opne gate into lateral lunge,active,lower_body,"coordination, hips, lateral_push, edgework_prep",30,low,8,99,None,4x4 ft,"Lift leg and open gate, land in lateral lunge",Smooth controlled motion,,"movement,conditioning,circuit,weight_lifting",,1
WU_010,Walking Quad Pull,active,lower_body,"tissue_temp, hips, quads, skating_posture",45,low,8,99,None,10 ft lane,Walk forward pulling heel to glute,"Stay balanced, slow steps",,"movement,conditioning,circuit,weight_lifting",,1
WU_011,Walking Hamstring Floor Touches,active,rhythm,"balance, ankles, coordination",45,low,8,99,None,10 ft line,Walk forward and swipe at ground each step,Balance and control,,"movement,conditioning,circuit,weight_lifting",,1
WU_012,Inchworm,active,hinge_core,"activation, core, hamstrings, shoulders",60,low,10,99,None,6x6 ft,"Hinge, walk hands to plank, walk feet in",Slow and controlled,,"movement,conditioning,circuit,weight_lifting",,1
WU_013,Froggy Glute Bridge,active,hinge_core,"activation, glutes, core",45,low,8,99,None,6x6 ft,"Lie on back with knees out, drive hips up, squeeze glutes",Pause briefly at top,,"movement,conditioning,circuit,weight_lifting",,1
WU_014,Single-Leg Hamstring Kick to RDL,active,hinge_core,"activation, hamstrings, balance, stride_pattern",60,low-med,10,99,None,6x6 ft,"Kick leg forward, hinge into single-leg RDL","Balance first, slow tempo",,"movement,conditioning,circuit,weight_lifting",,1
WU_015,Standing V-Hamstring Stretch,active,rhythm,"coordination, core, rotation_control",45,low,8,99,None,6x6 ft,"Stand with legs apart, stretch down the middle, then each leg",Smooth breathing,,"movement,conditioning,circuit",,1
WU_016,Front Leg Swings,active,lower_body,"tissue_temp, hips, stride_pattern",45,low,8,99,None,4x4 ft,Swing leg forward and back while balancing,"Controlled, no kicking",,"movement,conditioning,circuit,weight_lifting",,2
WU_017,Side-to-Side Leg Swings,active,lower_body,"tissue_temp, hips, adductors, lateral_push",45,low,8,99,None,4x4 ft,Swing leg side to side across body,Open hips gradually,,"movement,conditioning,circuit,weight_lifting",,2
WU_018,Explosive Push-Up,active,upper_body,"activation, shoulder, chest, arms",45,low,8,99,None,4x4 ft,"Slow down on pushup, explosive on up part of pushop","Controlled down, explosive up",,movement,,1
